55.0813824,38.7522728,55.081701,38.7518477,55.0820325,38.7514053,55.082581,38.7507252,55.0826515,38.7506718,55.0827088,38.7506285,55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793
55.081701,38.7518477,55.0820325,38.7514053,55.082581,38.7507252,55.0826515,38.7506718,55.0827088,38.7506285,55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062
55.0820325,38.7514053,55.082581,38.7507252,55.0826515,38.7506718,55.0827088,38.7506285,55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441
55.082581,38.7507252,55.0826515,38.7506718,55.0827088,38.7506285,55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335
55.0826515,38.7506718,55.0827088,38.7506285,55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335,55.0791816,38.750399
55.0827088,38.7506285,55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335,55.0791816,38.750399,55.0789294,38.7507467
55.0828246,38.7504637,55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335,55.0791816,38.750399,55.0789294,38.7507467,55.0786199,38.7511733
55.082969,38.7502515,55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335,55.0791816,38.750399,55.0789294,38.7507467,55.0786199,38.7511733,55.0783182,38.751589
55.0831435,38.7499949,55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335,55.0791816,38.750399,55.0789294,38.7507467,55.0786199,38.7511733,55.0783182,38.751589,55.0782559,38.751675
55.0832277,38.7498008,55.0835173,38.7494261,55.0836509,38.7492869,55.0838204,38.7489789,55.0838957,38.7488318,55.0838814,38.7487098,55.0837035,38.7484796,55.0835067,38.7483076,55.0833527,38.7482105,55.0830272,38.7480635,55.0827799,38.7479584,55.0825509,38.747861,55.0821254,38.7475864,55.081738,38.7473035,55.0815458,38.7471842,55.0813841,38.7473768,55.0811918,38.7476058,55.0810572,38.7477983,55.0807507,38.748237,55.0807266,38.7482715,55.0804709,38.7486237,55.0801788,38.749026,55.0801487,38.7490675,55.0798511,38.7494793,55.0795425,38.7499062,55.079515,38.7499441,55.0792285,38.750335,55.0791816,38.750399,55.0789294,38.7507467,55.0786199,38.7511733,55.0783182,38.751589,55.0782559,38.751675,55.0780097,38.7519973
